"wave","original_mac_m2.mg","original_corrected_mac_m2.mg","invivo_corrected_mac_m2.mg","invivo_corrected_750_normalised_mac_m2.mg"
500,0.067655978,0.067655978,0.154194848814818,0.125851078652469
501,0.067145878,0.067145878,0.153758250546684,0.125414480384335
502,0.066635777,0.066635777,0.153361752462369,0.12501798230002
503,0.066299968,0.066299968,0.153050399210155,0.124706629047806
504,0.065964159,0.065964159,0.152748671937189,0.12440490177484
505,0.065781399,0.065781399,0.152505931651949,0.1241621614896
506,0.065598639,0.065598639,0.152067719065885,0.123723948903536
507,0.064920568,0.064920568,0.151587686270987,0.123243916108638
508,0.064242496,0.064242496,0.151112215102734,0.122768444940385
509,0.063910241,0.063910241,0.15085658372352,0.122512813561171
510,0.063577986,0.063577986,0.150698939407121,0.122355169244772
511,0.063268498,0.063268498,0.150538213656578,0.122194443494229
512,0.06295901,0.06295901,0.150112311529301,0.121768541366953
513,0.06273922,0.06273922,0.149527981164078,0.121184211001729
514,0.062519431,0.062519431,0.1489002604277,0.120556490265351
515,0.062226787,0.062226787,0.148444439517928,0.120100669355579
516,0.061934143,0.061934143,0.148132330909271,0.119788560746922
517,0.061747981,0.061747981,0.147852436357722,0.119508666195373
518,0.061561819,0.061561819,0.147563089972314,0.119219319809965
519,0.061443476,0.061443476,0.147284091468373,0.118940321306025
520,0.061325133,0.061325133,0.147060726667879,0.11871695650553
521,0.060993654,0.060993654,0.146761418597994,0.118417648435645
522,0.060662175,0.060662175,0.146455860528022,0.118112090365673
523,0.060398324,0.060398324,0.146001584581668,0.117657814419319
524,0.060134473,0.060134473,0.145813647527771,0.117469877365422
525,0.059835279,0.059835279,0.145625788156329,0.11728201799398
526,0.059536085,0.059536085,0.145437210091004,0.117093439928655
527,0.059257239,0.059257239,0.145024935969189,0.11668116580684
528,0.058978393,0.058978393,0.144937084977346,0.116593314814997
529,0.058778881,0.058778881,0.144840443532901,0.116496673370553
530,0.058579369,0.058579369,0.14467158424755,0.116327814085201
531,0.058206856,0.058206856,0.144298902957297,0.115955132794949
532,0.057834343,0.057834343,0.143994687101091,0.115650916938742
533,0.057737563,0.057737563,0.143866083615011,0.115522313452662
534,0.057640783,0.057640783,0.14374758734623,0.115403817183881
535,0.057257964,0.057257964,0.143437624069129,0.11509385390678
536,0.056875145,0.056875145,0.143110676060791,0.114766905898442
537,0.057003879,0.057003879,0.143047674057152,0.114703903894803
538,0.057132613,0.057132613,0.142911396331551,0.114567626169203
539,0.057770717,0.057770717,0.142592132554244,0.114248362391895
540,0.058408821,0.058408821,0.14225739529789,0.113913625135541
541,0.05794662,0.05794662,0.142089752411863,0.113745982249514
542,0.057484418,0.057484418,0.141914547262917,0.113570777100568
543,0.057171561,0.057171561,0.141628446439493,0.113284676277144
544,0.056858703,0.056858703,0.141253152641779,0.11290938247943
545,0.056492714,0.056492714,0.140969227332229,0.11262545716988
546,0.056126725,0.056126725,0.140654100733232,0.112310330570883
547,0.055647011,0.055647011,0.140420084837815,0.112076314675467
548,0.055167297,0.055167297,0.140084466117333,0.111740695954985
549,0.054762524,0.054762524,0.139888743072965,0.111544972910617
550,0.054357752,0.054357752,0.139591997057865,0.111248226895516
551,0.05432445,0.05432445,0.139363136677006,0.111019366514657
552,0.054291148,0.054291148,0.138950315234368,0.11060654507202
553,0.05399693,0.05399693,0.138473428999653,0.110129658837304
554,0.053702711,0.053702711,0.138164011703986,0.109820241541638
555,0.053370644,0.053370644,0.137865740776308,0.109521970613959
556,0.053038578,0.053038578,0.137498698512791,0.109154928350442
557,0.052903672,0.052903672,0.137172593058059,0.10882882289571
558,0.052768765,0.052768765,0.137031145468723,0.108687375306374
559,0.052448756,0.052448756,0.136885167330937,0.108541397168588
560,0.052128746,0.052128746,0.13656081566859,0.108217045506241
561,0.052123424,0.052123424,0.136397253508034,0.108053483345685
562,0.052118102,0.052118102,0.136333410655245,0.107989640492896
563,0.051493723,0.051493723,0.136065929332422,0.107722159170073
564,0.050869345,0.050869345,0.135693809358102,0.107350039195753
565,0.050899144,0.050899144,0.135437421300771,0.107093651138422
566,0.050928943,0.050928943,0.135196253833274,0.106852483670925
567,0.050602181,0.050602181,0.13478391619442,0.106440146032071
568,0.050275418,0.050275418,0.134396169223828,0.106052399061479
569,0.050029566,0.050029566,0.134345863729023,0.106002093566674
570,0.049783713,0.049783713,0.134166537726087,0.105822767563738
571,0.049313698,0.049313698,0.133894176039968,0.105550405877619
572,0.048843683,0.048843683,0.133412783852903,0.105069013690554
573,0.048343878,0.048343878,0.133032063518076,0.104688293355727
574,0.047844072,0.047844072,0.132719764142338,0.104375993979989
575,0.04763655,0.04763655,0.132362230855489,0.10401846069314
576,0.047429028,0.047429028,0.131986453417434,0.103642683255085
577,0.047100186,0.047100186,0.131572215126194,0.103228444963845
578,0.046771344,0.046771344,0.131178807986181,0.102835037823832
579,0.046683812,0.046683812,0.130701523022949,0.1023577528606
580,0.04659628,0.04659628,0.130359649038443,0.102015878876094
581,0.045868848,0.045868848,0.130076515250039,0.10173274508769
582,0.045141417,0.045141417,0.129701015195333,0.101357245032984
583,0.044944091,0.044944091,0.129226182694453,0.100882412532104
584,0.044746766,0.044746766,0.128794635985579,0.100450865823231
585,0.044321804,0.044321804,0.12835096186445,0.100007191702101
586,0.043896843,0.043896843,0.127976221966827,0.0996324518044778
587,0.04358155,0.04358155,0.12753442104329,0.099190650880941
588,0.043266257,0.043266257,0.127089724964891,0.0987459548025425
589,0.043215674,0.043215674,0.126575506364581,0.0982317362022326
590,0.043165092,0.043165092,0.12622741001699,0.097883639854641
591,0.042488245,0.042488245,0.125760849709414,0.0974170795470652
592,0.041811399,0.041811399,0.125219652462613,0.0968758823002647
593,0.041254373,0.041254373,0.124754433373619,0.0964106632112703
594,0.040697347,0.040697347,0.12437041166596,0.0960266415036109
595,0.040444808,0.040444808,0.123871270643414,0.0955275004810648
596,0.040192269,0.040192269,0.123278857813084,0.0949350876507351
597,0.04009964,0.04009964,0.122768788026366,0.0944250178640172
598,0.040007012,0.040007012,0.122216653590411,0.0938728834280618
599,0.039508113,0.039508113,0.121690789728618,0.0933470195662691
600,0.039009213,0.039009213,0.12098754610994,0.0926437759475912
601,0.038717534,0.038717534,0.120481862935687,0.0921380927733386
602,0.038425854,0.038425854,0.119907860607327,0.0915640904449784
603,0.037934561,0.037934561,0.119368522857583,0.0910247526952344
604,0.037443268,0.037443268,0.118639966834111,0.0902961966717626
605,0.037085231,0.037085231,0.118234010952552,0.0898902407902032
606,0.036727194,0.036727194,0.117865383319663,0.0895216131573147
607,0.036262349,0.036262349,0.117423556139286,0.0890797859769368
608,0.035797504,0.035797504,0.116876349560713,0.0885325793983645
609,0.035401684,0.035401684,0.116403746165736,0.0880599760033872
610,0.035005864,0.035005864,0.115966614293029,0.0876228441306802
611,0.034597588,0.034597588,0.11559880672087,0.0872550365585208
612,0.034189311,0.034189311,0.115055471623593,0.0867117014612447
613,0.034222349,0.034222349,0.114445371289274,0.0861016011269248
614,0.034255386,0.034255386,0.113903154195426,0.0855593840330769
615,0.033438904,0.033438904,0.113486692293102,0.0851429221307534
616,0.032622421,0.032622421,0.113017910588728,0.0846741404263796
617,0.032584049,0.032584049,0.112470380951529,0.0841266107891806
618,0.032545677,0.032545677,0.112074674999293,0.083730904836944
619,0.032124145,0.032124145,0.111638530311128,0.0832947601487788
620,0.031702613,0.031702613,0.111212708901471,0.0828689387391219
621,0.031601235,0.031601235,0.110657332538301,0.0823135623759519
622,0.031499857,0.031499857,0.110130124758547,0.0817863545961985
623,0.031157399,0.031157399,0.109559109027707,0.0812153388653578
624,0.030814941,0.030814941,0.109099629566391,0.0807558594040423
625,0.030484644,0.030484644,0.108785376840485,0.0804416066781357
626,0.030154347,0.030154347,0.108420893722694,0.0800771235603454
627,0.029860658,0.029860658,0.107944694351162,0.0796009241888132
628,0.02956697,0.02956697,0.107324877646424,0.0789811074840752
629,0.0289791,0.0289791,0.106834123672362,0.0784903535100137
630,0.02839123,0.02839123,0.106429218189938,0.0780854480275889
631,0.028320345,0.028320345,0.106005964081459,0.0776621939191103
632,0.028249459,0.028249459,0.105554299897244,0.0772105297348947
633,0.027965382,0.027965382,0.105134328254158,0.0767905580918093
634,0.027681304,0.027681304,0.10476690773459,0.0764231375722407
635,0.027261341,0.027261341,0.104301077439166,0.0759573072768174
636,0.026841378,0.026841378,0.103889470821594,0.0755457006592454
637,0.026780456,0.026780456,0.103424417245344,0.0750806470829949
638,0.026719534,0.026719534,0.102879681001855,0.0745359108395063
639,0.026410239,0.026410239,0.102353883789178,0.0740101136268294
640,0.026100943,0.026100943,0.101915220269451,0.0735714501071024
641,0.025894563,0.025894563,0.101427584362209,0.0730838141998605
642,0.025688183,0.025688183,0.100969982235811,0.0726262120734621
643,0.025484853,0.025484853,0.100610219071724,0.0722664489093747
644,0.025281523,0.025281523,0.100286535269651,0.0719427651073023
645,0.024956827,0.024956827,0.0999242181860848,0.071580448023736
646,0.024632132,0.024632132,0.0995944676345532,0.0712506974722044
647,0.024484423,0.024484423,0.0992047314516852,0.0708609612893364
648,0.024336714,0.024336714,0.0987990241497644,0.0704552539874156
649,0.023787863,0.023787863,0.0984741711059791,0.0701304009436303
650,0.023239012,0.023239012,0.0981682863061132,0.0698245161437644
651,0.023205893,0.023205893,0.0977334439244176,0.0693896737620689
652,0.023172774,0.023172774,0.0972799611951953,0.0689361910328465
653,0.022884297,0.022884297,0.0969460320824209,0.0686022619200721
654,0.022595821,0.022595821,0.0967180355952108,0.068374265432862
655,0.022378183,0.022378183,0.0964044803402864,0.0680607101779376
656,0.022160546,0.022160546,0.0959080266066994,0.0675642564443506
657,0.021969317,0.021969317,0.0953552730982697,0.0670115029359209
