wave,original_mac_m2.mg,original_corrected_mac_m2.mg,invivo_corrected_mac_m2.mg,invivo_corrected_750_normalised_mac_m2.mg,,,,200,0,0,0,0
387,0.255825174,0.157100496,0.205560867,0.177217097,,,,338,0.404159417,0.146932445,0.266776632,0.238432862
388,0.253228147,0.15790475,0.205262783,0.176919013,,,,339,0.400297776,0.146472015,0.265980664,0.237636894
389,0.250626292,0.15816193,0.204790831,0.176447061,,,,340,0.396436136,0.14600495,0.265952717,0.237608947
390,0.248024437,0.158424817,0.20431862,0.17597485,,,,341,0.392597046,0.145673406,0.26352594,0.23518217
391,0.245141734,0.158440954,0.203739125,0.175395355,,,,342,0.388757957,0.145336468,0.263162213,0.234818443
392,0.242259032,0.158462654,0.203324762,0.174980992,,,,343,0.384777918,0.145093005,0.264092782,0.235749011
393,0.239969095,0.158433578,0.20324754,0.17490377,,,,344,0.380797879,0.144844731,0.261808457,0.233464687
394,0.237679158,0.15841728,0.203071778,0.174728008,,,,345,0.377029683,0.144451847,0.260503432,0.232159662
395,0.234509515,0.158403232,0.202636548,0.174292778,,,,346,0.373261488,0.144052985,0.257570477,0.229226707
396,0.231339872,0.158388237,0.202078291,0.173734521,,,,347,0.369454347,0.143409231,0.257478078,0.229134308
397,0.228038687,0.157763471,0.201516404,0.173172634,,,,348,0.365647205,0.142756984,0.256000158,0.227656388
398,0.224737502,0.157125019,0.201008185,0.172664415,,,,349,0.361259778,0.142127042,0.25581748,0.227473709
399,0.222098173,0.157249912,0.20052134,0.17217757,,,,350,0.35687235,0.141486934,0.254120256,0.225776486
400,0.219458843,0.157377497,0.200417325,0.172073555,,,,351,0.352941545,0.140981694,0.251222579,0.222878809
401,0.216414802,0.156732655,0.200109951,0.171766181,,,,352,0.349010741,0.140459903,0.249530425,0.221186655
402,0.213370761,0.156060018,0.199825121,0.171481351,,,,353,0.345440721,0.140015622,0.246033347,0.217689576
403,0.210635514,0.156051726,0.199489533,0.171145763,,,,354,0.341870701,0.139565141,0.244541606,0.216197836
404,0.207900268,0.156052886,0.199708654,0.171364884,,,,355,0.337932908,0.139063359,0.242915781,0.21457201
405,0.205072968,0.155604748,0.199828773,0.171485003,,,,356,0.333995116,0.138553382,0.242036867,0.213693097
406,0.202245668,0.155164177,0.199262233,0.170918462,,,,357,0.330986098,0.138650602,0.239731272,0.211387502
407,0.199447915,0.154836034,0.198626404,0.170282633,,,,358,0.327977081,0.138753221,0.238376835,0.210033065
408,0.196650161,0.154501426,0.198196336,0.169852566,,,,359,0.324764222,0.138881688,0.236860307,0.208516537
409,0.194054817,0.15414251,0.197771034,0.169427264,,,,360,0.321551363,0.139011761,0.235309203,0.206965433
410,0.191459473,0.153775531,0.19719334,0.16884957,,,,361,0.318259783,0.139221569,0.233586666,0.205242896
411,0.189031501,0.153729662,0.196544503,0.168200733,,,,362,0.314968204,0.139438157,0.232021782,0.203678012
412,0.18660353,0.153682199,0.196069103,0.167725333,,,,363,0.312040979,0.139462515,0.23009173,0.20174796
413,0.183689853,0.15315466,0.195542984,0.167199214,,,,364,0.309113754,0.139486968,0.228417575,0.200073804
414,0.180776177,0.152630268,0.195058742,0.166714972,,,,365,0.305963825,0.139956227,0.226574168,0.198230398
415,0.178849152,0.153121701,0.194289153,0.165945383,,,,366,0.302813897,0.140438566,0.224608267,0.196264497
416,0.176922128,0.153626674,0.193758866,0.165415096,,,,367,0.299269884,0.140824587,0.222980178,0.194636407
417,0.174204893,0.153285493,0.193226488,0.164882718,,,,368,0.295725872,0.141220138,0.221460899,0.193117129
418,0.171487657,0.152934665,0.192671587,0.164327817,,,,369,0.293755778,0.141950973,0.220133201,0.191789431
419,0.169558944,0.153948248,0.191824841,0.163481071,,,,370,0.291785684,0.1426986,0.218736974,0.190393204
420,0.167630231,0.154998628,0.191268838,0.162925068,,,,371,0.289555516,0.143622138,0.217612399,0.189268629
421,0.165510225,0.154692688,0.19061013,0.16226636,,,,372,0.287325348,0.144571849,0.216003514,0.187659744
422,0.16339022,0.154379713,0.189937787,0.161594017,,,,373,0.284831608,0.145187934,0.214824446,0.186480676
423,0.161798861,0.155086818,0.189213062,0.160869292,,,,374,0.282337867,0.145819683,0.213429465,0.185085695
424,0.160207501,0.155833968,0.188950602,0.160606832,,,,375,0.280326441,0.146732837,0.212061735,0.183717965
425,0.157973456,0.155697462,0.188536615,0.160192845,,,,376,0.278315014,0.147669211,0.21141712,0.18307335
426,0.155739411,0.155556897,0.187882282,0.159538512,,,,377,0.276615144,0.148811584,0.211307374,0.182963604
427,0.154108556,0.154108556,0.187256273,0.158912503,,,,378,0.274915274,0.149985573,0.21059772,0.18225395
428,0.152477701,0.152477701,0.186814308,0.158470538,,,,379,0.272819982,0.150834343,0.209378949,0.181035178
429,0.150343141,0.150343141,0.186325948,0.157982178,,,,380,0.27072469,0.151694401,0.208616825,0.180273055
430,0.148208582,0.148208582,0.185789213,0.157445443,,,,381,0.268588909,0.15240616,0.208209767,0.179865996
431,0.146662871,0.146662871,0.185372955,0.157029184,,,,382,0.266453128,0.153097608,0.207695755,0.179351985
