wvl,BRA,BRB,BRC,HE1A,HE2A,HE2B,HE2C,MIT1A,MIT1B,MIT1C,MIT2A,MIT2B,MIT2C,MIT3A,MIT3B,MIT3C,MIT4A,MIT4B,MIT4C,MIT5A,MIT5B,MIT5C
563,0.00240519,0.002399924,0.002277926,0.002454014,0.002055451,0.002019534,0.002206172,0.001172463,0.003427501,0.001657594,0.000619423,0.000571489,0.000547882,0.002454692,0.002397378,0.002425677,0.002102648,0.002316499,0.002572959,0.002240552,0.002273664,0.002593277
566,0.002395413,0.002360146,0.00231244,0.002454014,0.002055451,0.002054354,0.002206172,0.001172463,0.003427501,0.001657594,0.000619423,0.000546641,0.000547882,0.00247433,0.002384133,0.002446061,0.00208784,0.002281133,0.002572959,0.002226143,0.00224182,0.002560534
569,0.002356304,0.002320368,0.002277926,0.002454014,0.002055451,0.002019534,0.00216084,0.001088715,0.003427501,0.001657594,0.000586821,0.000546641,0.000525053,0.002454692,0.002357642,0.002425677,0.002073033,0.002245767,0.002554314,0.002197326,0.00219087,0.002521242
572,0.002317195,0.00228059,0.002208898,0.002369393,0.001884163,0.001915076,0.002145729,0.001004968,0.003399859,0.001553995,0.00055422,0.000496947,0.000479396,0.002435055,0.002317907,0.002384909,0.002058226,0.002204506,0.00253567,0.002161304,0.002123997,0.002468852
575,0.002287864,0.002240813,0.00213987,0.002327082,0.001884163,0.001880256,0.002100397,0.001004968,0.003372218,0.001450395,0.00053792,0.000472099,0.000456568,0.00239578,0.002278171,0.002364525,0.002013803,0.002163245,0.00249838,0.002118078,0.002073047,0.002416463
578,0.002238978,0.002187776,0.00213987,0.002327082,0.001884163,0.001880256,0.002039954,0.001004968,0.003316936,0.001450395,0.000521619,0.000472099,0.000456568,0.002356505,0.002225191,0.002303374,0.001954574,0.002121984,0.002442447,0.002082056,0.002047572,0.002370622
581,0.002190092,0.002134739,0.002070841,0.002284772,0.001884163,0.001810617,0.001949289,0.000921221,0.003206372,0.001450395,0.000505318,0.000472099,0.000456568,0.002258317,0.002158965,0.002221838,0.001895344,0.002074829,0.002330579,0.002031626,0.002012543,0.002324781
584,0.002141206,0.002081702,0.001967299,0.002284772,0.001884163,0.001671339,0.001858625,0.000921221,0.003123448,0.001450395,0.000489018,0.000472099,0.000456568,0.002160129,0.002105984,0.002119919,0.001836115,0.002033568,0.002256,0.001973991,0.00197433,0.002272392
587,0.002102097,0.002028665,0.001898271,0.002200151,0.001712876,0.00156688,0.001798182,0.000921221,0.003095807,0.001450395,0.000456417,0.000472099,0.00043374,0.002101217,0.002053003,0.002058768,0.001776885,0.001986413,0.002200066,0.001916356,0.00192338,0.002213454
590,0.002072766,0.001988887,0.001863757,0.002115529,0.001884163,0.001532061,0.00176796,0.001004968,0.003068166,0.001450395,0.000440116,0.000472099,0.00043374,0.002061941,0.002013268,0.002018,0.001747271,0.001945152,0.002162777,0.001865926,0.001881983,0.002154516
593,0.00202388,0.00193585,0.001829243,0.002073219,0.001884163,0.001497241,0.001707517,0.001004968,0.003068166,0.001450395,0.000456417,0.000472099,0.00043374,0.002022666,0.001960287,0.001977232,0.001717656,0.001897997,0.002144132,0.001829904,0.001821479,0.002089029
596,0.001965216,0.001869554,0.001794729,0.001988598,0.001712876,0.001497241,0.001662185,0.000921221,0.003040525,0.001450395,0.000440116,0.000447252,0.00043374,0.001983391,0.001907306,0.001936465,0.001673234,0.001839053,0.002088199,0.001772269,0.001741869,0.002023542
